;   Converted 2013 Feb 10 from a file provided by Jim Baer
;   See 'mu.txt' in ftp://cfa-ftp.harvard.edu/pub/MPC/BC405/ for
;   the original version (as well as the BC405 orbital elements and
;   some documentation.)  The following masses are in units of Sun=1.
;   Solar GM = 1.32712440018 x 10^20 (+/- 8 x 10^9) m^3/s^2
;   2016 Oct 3: replaced Ceres 4.755e-10 and Vesta 1.344e-10 with Dawn's
;   measurements: Ceres GM=62.68 km^3/s^2 = 4.72299e-10,  Vesta
;   (2.59076 +/- 0.00001)x10^20 kg =  1.30284e-10 solar masses
     1  4.7230e-10  Ceres
     2  1.060e-10  Pallas
     4  1.303e-10  Vesta
    29  7.700e-12  Amphitrite
    16  1.140e-11  Psyche
    15  1.600e-11  Eunomia
    10  4.420e-11  Hygiea
     7  7.300e-12  Iris
     6  6.300e-12  Hebe
     3  1.500e-11  Juno
   345  2.941e-13  Tercidina
    12  1.019e-12  Victoria
   442  1.002e-13  Eichsfeldia
    27  1.598e-12  Euterpe
   287  2.196e-13  Nephthys
    43  2.032e-13  Ariadne
    84  1.750e-13  Klio
    30  9.510e-13  Urania
   536  1.225e-12  Merapi
   163  1.351e-13  Erigone
   105  5.956e-13  Artemis
   554  3.108e-13  Peraga
   313  3.154e-13  Chaldaea
   115  3.616e-13  Thyra
   230  9.201e-13  Athamantis
   337  2.881e-13  Devosa
    80  3.424e-13  Sappho
     9  7.200e-12  Metis
    63  7.798e-13  Ausonia
    25  3.014e-13  Phocaea
   192  7.825e-13  Nausikaa
   304  1.102e-13  Olga
    20  1.900e-12  Massalia
   566  1.677e-12  Stereoskopia
   654  7.294e-13  Zelinda
   135  6.941e-13  Hertha
   618  6.140e-13  Elfriede
   635  3.344e-13  Vundtia
    21  1.300e-12  Lutetia
    42  7.150e-13  Isis
    19  4.190e-12  Fortuna
    11  2.500e-12  Parthenope
   168  1.153e-12  Sibylla
    17  6.800e-13  Thetis
  1467  4.956e-13  Mashona
   329  1.661e-13  Svea
    46  6.742e-13  Hestia
   751  4.759e-13  Faina
    89  2.469e-12  Julia
   449  2.212e-13  Hamburga
   334  1.334e-12  Chicago
   134  6.607e-13  Sophrosyne
   535  1.458e-13  Montague
   626  3.605e-13  Notburga
     5  1.271e-12  Astraea
   712  7.323e-13  Boliviana
   107  5.630e-12  Camilla
   409  1.489e-12  Aspasia
   362  3.320e-13  Havnia
   405  6.873e-13  Thia
    32  3.744e-13  Pomona
    14  2.700e-12  Irene
    91  4.672e-13  Aegina
   111  3.060e-12  Ate
  1015  3.213e-13  Christa
   404  3.291e-13  Arsinoe
   344  8.159e-13  Desiderata
   849  3.296e-13  Ara
   389  3.502e-13  Industria
   347  1.881e-13  Pariana
    70  6.432e-13  Panopaea
   194  1.685e-12  Prokne
    53  5.418e-13  Kalypso
    78  6.187e-13  Diana
   407  3.031e-13  Arachne
   454  1.914e-13  Mathesis
    23  8.837e-13  Thalia
   124  3.164e-13  Alkeste
   164  4.074e-13  Eva
    37  9.041e-13  Fides
    72  2.252e-13  Feronia
   224  3.296e-13  Oceana
   369  3.014e-13  Aeria
    50  3.508e-13  Virginia
   476  5.615e-13  Hedwig
   713  4.144e-13  Luscinia
    85  1.308e-12  Io
    26  6.107e-13  Proserpina
   455  2.121e-13  Bruchsalia
   144  1.005e-12  Vibilia
   488  1.193e-12  Kreusa
   466  5.439e-13  Tisiphone
   511  1.930e-11  Davida
   240  3.956e-13  Vanadis
  1036  2.255e-14  Ganymed
   141  7.935e-13  Lumen
    97  7.928e-13  Klotho
   326  2.837e-13  Tamara
    77  4.633e-13  Frigga
   694  2.639e-13  Ekard
   145  1.218e-12  Adeona
    75  2.406e-13  Eurydike
   225  6.170e-13  Henrietta
   201  4.463e-13  Penelope
   324  5.100e-12  Bamberga
    34  5.163e-13  Circe
    98  4.019e-13  Ianthe
    31  2.800e-11  Euphrosyne
   175  3.626e-13  Andromache
   109  2.524e-13  Felicitas
    58  2.877e-13  Concordia
   103  5.391e-13  Hera
    59  1.579e-12  Elpis
    54  1.606e-12  Alexandra
   146  8.150e-13  Lucina
    45  2.860e-12  Eugenia
   209  1.443e-12  Dido
   410  6.646e-13  Chloris
   160  1.891e-13  Una
   140  4.668e-13  Siwa
   156  6.247e-13  Xanthippe
   110  8.902e-13  Lydia
   187  7.975e-13  Lamberta
    18  1.510e-12  Melpomene
   387  7.216e-13  Aquitania
   200  7.460e-13  Dynamene
   185  1.378e-12  Eunike
    57  1.014e-12  Mnemosyne
   247  8.569e-13  Eukrate
   372  2.367e-12  Palma
   980  4.551e-13  Anacostia
   481  5.121e-13  Emita
   521  5.456e-13  Brixia
   206  5.090e-13  Hersilia
    38  5.496e-13  Leda
   173  1.291e-12  Ino
    36  4.155e-13  Atalante
   171  5.605e-13  Ophelia
   490  1.328e-12  Veritas
   381  6.184e-13  Myrrha
   128  2.350e-12  Nemesis
    93  9.882e-13  Minerva
    71  4.126e-13  Niobe
   356  7.986e-13  Liguria
   127  6.617e-13  Johanna
    41  1.858e-12  Daphne
   143  2.565e-13  Adria
    94  3.034e-12  Aurora
    39  2.376e-12  Laetitia
    88  5.300e-12  Thisbe
   433  3.362e-15  Eros
     8  3.400e-12  Flora
   532  8.680e-12  Herculina
    92  2.819e-12  Undina
   275  5.365e-13  Sapientia
    65  7.200e-12  Cybele
   444  3.600e-12  Gyptis
   393  3.208e-13  Lampetia
